id,gid,x,y,v_x,v_y,radius,time
0,0,10.148642,0.367691,-0.174576,0.125866,0.200000,0.100000
1,0,12.514458,0.594045,-0.339418,0.025177,0.200000,0.100000
2,0,7.305723,-0.121040,-0.163173,0.009415,0.200000,0.100000
3,0,6.791576,-0.845494,-0.129635,-0.051162,0.200000,0.100000
4,0,8.837079,0.706234,0.020287,0.062217,0.200000,0.100000
5,0,5.221801,0.529620,-0.018593,-0.049835,0.200000,0.100000
6,0,13.703303,-1.054820,0.078029,-0.049902,0.200000,0.100000
7,0,10.838554,-0.182229,-0.214464,-0.123838,0.200000,0.100000
8,0,13.309828,-0.560773,-0.030723,-0.233325,0.200000,0.100000
9,0,8.018931,-0.203234,-0.106188,0.173901,0.200000,0.100000
10,0,6.845354,0.236987,-0.179457,0.174490,0.200000,0.100000
11,0,14.742200,-0.676141,-0.187001,0.151067,0.200000,0.100000
12,0,13.400292,0.608220,-0.096082,0.127162,0.200000,0.100000
13,0,8.492213,0.140063,-0.340868,0.082766,0.200000,0.100000
14,0,6.794443,-0.414652,-0.178965,0.002494,0.200000,0.100000
15,0,13.623005,1.025105,0.109048,0.042654,0.200000,0.100000
16,0,6.426242,0.046003,-0.194184,-0.039839,0.200000,0.100000
17,0,6.769431,0.879125,-0.099895,-0.037717,0.200000,0.100000
18,0,9.492622,-0.431346,-0.058077,0.062946,0.200000,0.100000
19,0,7.333525,-0.851665,0.012349,-0.122752,0.200000,0.100000
20,1,7.298483,7.702683,-0.015870,-0.106773,0.200000,0.100000
21,1,8.353463,-4.211510,-0.126372,-0.163597,0.200000,0.100000
22,1,7.129559,2.334946,0.179692,-0.011042,0.200000,0.100000
23,1,9.088468,-3.106132,0.001385,-0.294420,0.200000,0.100000
24,1,5.300888,5.480816,-0.092524,-0.091539,0.200000,0.100000
25,1,8.423552,-2.028402,0.106821,0.007776,0.200000,0.100000
26,1,6.820466,6.572481,-0.015036,0.041714,0.200000,0.100000
27,1,5.172024,1.224948,0.050037,0.017183,0.200000,0.100000
28,1,4.808394,3.019742,-0.011563,-0.030278,0.200000,0.100000
29,1,4.811437,0.708150,-0.010335,-0.009040,0.200000,0.100000
30,1,7.596525,3.452999,-0.066052,0.061088,0.200000,0.100000
31,1,7.277894,-4.338367,0.020838,0.065831,0.200000,0.100000
32,1,5.639266,2.219631,-0.054644,-0.200293,0.200000,0.100000
33,1,7.977891,5.350785,0.005708,-0.133250,0.200000,0.100000
