id,gid,x,y,v_x,v_y,radius,time
0,0,-8.870000,-1.000000,1.300000,0.000000,0.750000,0.100000
1,0,-8.870000,1.000000,1.300000,0.000000,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.740000,-1.000000,1.300000,0.000000,0.750000,0.200000
1,0,-8.740000,1.000000,1.300000,0.000000,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.610000,-1.000000,1.300000,0.000000,0.750000,0.300000
1,0,-8.610000,1.000000,1.300000,0.000000,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.480000,-1.000000,1.300000,0.000000,0.750000,0.400000
1,0,-8.480000,1.000000,1.300000,0.000000,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.350000,-1.000000,1.300000,0.000000,0.750000,0.500000
1,0,-8.350000,1.000000,1.300000,0.000000,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.220000,-1.000000,1.300000,0.000000,0.750000,0.600000
1,0,-8.220000,1.000000,1.300000,0.000000,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.090000,-1.000000,1.300000,0.000000,0.750000,0.700000
1,0,-8.090000,1.000000,1.300000,0.000000,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-7.960000,-1.000000,1.300000,0.000000,0.750000,0.800000
1,0,-7.960000,1.000000,1.300000,0.000000,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.830000,-1.000000,1.300000,0.000000,0.750000,0.900000
1,0,-7.830000,1.000000,1.300000,0.000000,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.700000,-1.000000,1.300000,0.000000,0.750000,1.000000
1,0,-7.700000,1.000000,1.300000,0.000000,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.570000,-1.000000,1.300000,0.000000,0.750000,1.100000
1,0,-7.570000,1.000000,1.300000,0.000000,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.440000,-1.000000,1.300000,0.000000,0.750000,1.200000
1,0,-7.440000,1.000000,1.300000,0.000000,0.750000,1.200000
2,1,-1.560000,0.000000,-1.300000,0.000000,0.750000,1.200000
0,0,-7.310000,-1.000000,1.300000,0.000000,0.750000,1.300000
1,0,-7.310000,1.000000,1.300000,0.000000,0.750000,1.300000
2,1,-1.690000,0.000000,-1.300000,0.000000,0.750000,1.300000
0,0,-7.180000,-1.000000,1.300000,0.000000,0.750000,1.400000
1,0,-7.180000,1.000000,1.300000,0.000000,0.750000,1.400000
2,1,-1.820000,0.000000,-1.300000,0.000000,0.750000,1.400000
0,0,-7.050000,-1.000000,1.300000,0.000000,0.750000,1.500000
1,0,-7.050000,1.000000,1.300000,0.000000,0.750000,1.500000
2,1,-1.950000,0.000000,-1.300000,0.000000,0.750000,1.500000
0,0,-6.920000,-1.000000,1.300000,0.000000,0.750000,1.600000
1,0,-6.920000,1.000000,1.300000,0.000000,0.750000,1.600000
2,1,-2.080000,0.000000,-1.300000,0.000000,0.750000,1.600000
0,0,-6.768719,-1.044026,1.512809,-0.440264,0.750000,1.700000
1,0,-6.806826,1.035691,1.131737,0.356907,0.750000,1.700000
2,1,-2.207224,0.008264,-1.272243,0.082637,0.750000,1.700000
0,0,-6.617838,-1.083674,1.508809,-0.396475,0.750000,1.800000
1,0,-6.685514,1.075169,1.213122,0.394780,0.750000,1.800000
2,1,-2.314696,0.008219,-1.074716,-0.000449,0.750000,1.800000
0,0,-6.488163,-1.108228,1.296756,-0.245540,0.750000,1.900000
1,0,-6.554964,1.110832,1.305501,0.356632,0.750000,1.900000
2,1,-2.448042,0.009956,-1.333461,0.017373,0.750000,1.900000
0,0,-6.378510,-1.141767,1.096527,-0.335395,0.750000,2.000000
1,0,-6.431387,1.165357,1.235765,0.545250,0.750000,2.000000
2,1,-2.611261,0.015232,-1.632188,0.052756,0.750000,2.000000
0,0,-6.248068,-1.167471,1.304422,-0.257033,0.750000,2.100000
1,0,-6.300236,1.198140,1.311512,0.327836,0.750000,2.100000
2,1,-2.745329,0.012679,-1.340686,-0.025524,0.750000,2.100000
0,0,-6.131085,-1.218295,1.169829,-0.508241,0.750000,2.200000
1,0,-6.178770,1.254796,1.214660,0.566560,0.750000,2.200000
2,1,-2.836994,0.013594,-0.916649,0.009148,0.750000,2.200000
0,0,-6.014625,-1.236520,1.164599,-0.182250,0.750000,2.300000
1,0,-6.034555,1.285945,1.442157,0.311486,0.750000,2.300000
2,1,-2.965774,0.005559,-1.287798,-0.080347,0.750000,2.300000
0,0,-5.918129,-1.264547,0.964956,-0.280275,0.750000,2.400000
1,0,-5.893595,1.317939,1.409590,0.319940,0.750000,2.400000
2,1,-3.088097,0.001484,-1.223224,-0.040755,0.750000,2.400000
0,0,-5.794652,-1.295009,1.234772,-0.304615,0.750000,2.500000
1,0,-5.788036,1.329759,1.055593,0.118196,0.750000,2.500000
2,1,-3.215474,-0.006596,-1.273772,-0.080797,0.750000,2.500000
0,0,-5.675506,-1.329017,1.191460,-0.340084,0.750000,2.600000
1,0,-5.662295,1.340846,1.257414,0.110875,0.750000,2.600000
2,1,-3.271143,-0.013145,-0.556695,-0.065490,0.750000,2.600000
0,0,-5.539594,-1.354197,1.359119,-0.251796,0.750000,2.700000
1,0,-5.551874,1.353687,1.104206,0.128406,0.750000,2.700000
2,1,-3.326995,-0.019370,-0.558515,-0.062255,0.750000,2.700000
0,0,-5.394005,-1.379751,1.455896,-0.255539,0.750000,2.800000
1,0,-5.428047,1.373268,1.238276,0.195810,0.750000,2.800000
2,1,-3.399217,-0.025051,-0.722220,-0.056805,0.750000,2.800000
0,0,-5.235424,-1.413324,1.585802,-0.335732,0.750000,2.900000
1,0,-5.282260,1.382394,1.457867,0.091264,0.750000,2.900000
2,1,-3.468088,-0.017974,-0.688716,0.070768,0.750000,2.900000
0,0,-5.101550,-1.433802,1.338740,-0.204782,0.750000,3.000000
1,0,-5.163182,1.409197,1.190778,0.268027,0.750000,3.000000
2,1,-3.593423,-0.030731,-1.253343,-0.127570,0.750000,3.000000
0,0,-4.972332,-1.470284,1.292185,-0.364815,0.750000,3.100000
1,0,-5.054356,1.433191,1.088266,0.239944,0.750000,3.100000
2,1,-3.714083,-0.033412,-1.206602,-0.026810,0.750000,3.100000
0,0,-4.837117,-1.511455,1.352153,-0.411711,0.750000,3.200000
1,0,-4.943523,1.457899,1.108328,0.247080,0.750000,3.200000
2,1,-3.850424,-0.034201,-1.363416,-0.007888,0.750000,3.200000
0,0,-4.690197,-1.523678,1.469199,-0.122227,0.750000,3.300000
1,0,-4.818108,1.461570,1.254148,0.036707,0.750000,3.300000
2,1,-3.998476,-0.029082,-1.480520,0.051191,0.750000,3.300000
0,0,-4.544516,-1.550675,1.456806,-0.269977,0.750000,3.400000
1,0,-4.684568,1.477030,1.335404,0.154604,0.750000,3.400000
2,1,-4.151533,-0.037327,-1.530563,-0.082456,0.750000,3.400000
0,0,-4.399483,-1.574464,1.450332,-0.237884,0.750000,3.500000
1,0,-4.536144,1.470507,1.484235,-0.065233,0.750000,3.500000
2,1,-4.296784,-0.033769,-1.452508,0.035581,0.750000,3.500000
0,0,-4.265493,-1.562309,1.339896,0.121543,0.750000,3.600000
1,0,-4.374685,1.487877,1.614587,0.173704,0.750000,3.600000
2,1,-4.426212,-0.047296,-1.294283,-0.135266,0.750000,3.600000
0,0,-4.147308,-1.549360,1.181849,0.129492,0.750000,3.700000
1,0,-4.224022,1.500558,1.506630,0.126801,0.750000,3.700000
2,1,-4.568327,-0.034233,-1.421148,0.130627,0.750000,3.700000
0,0,-4.014420,-1.545959,1.328884,0.034015,0.750000,3.800000
1,0,-4.070720,1.521091,1.533022,0.205335,0.750000,3.800000
2,1,-4.695303,-0.017348,-1.269761,0.168856,0.750000,3.800000
0,0,-3.861827,-1.537662,1.525935,0.082962,0.750000,3.900000
1,0,-3.918800,1.539392,1.519202,0.183013,0.750000,3.900000
2,1,-4.821216,-0.020347,-1.259128,-0.029991,0.750000,3.900000
0,0,-3.722490,-1.527129,1.393362,0.105334,0.750000,4.000000
1,0,-3.789900,1.540193,1.288998,0.008007,0.750000,4.000000
2,1,-4.953364,-0.021903,-1.321483,-0.015566,0.750000,4.000000
0,0,-3.603788,-1.518996,1.187019,0.081333,0.750000,4.100000
1,0,-3.643565,1.537573,1.463354,-0.026201,0.750000,4.100000
2,1,-5.070684,-0.025251,-1.173202,-0.033472,0.750000,4.100000
0,0,-3.482405,-1.502694,1.213832,0.163017,0.750000,4.200000
1,0,-3.491768,1.518059,1.517966,-0.195138,0.750000,4.200000
2,1,-5.186208,-0.024476,-1.155237,0.007751,0.750000,4.200000
0,0,-3.364299,-1.503573,1.181062,-0.008788,0.750000,4.300000
1,0,-3.370146,1.525027,1.216220,0.069674,0.750000,4.300000
2,1,-5.309650,-0.013141,-1.234419,0.113343,0.750000,4.300000
0,0,-3.237543,-1.492741,1.267563,0.108315,0.750000,4.400000
1,0,-3.252749,1.515947,1.173971,-0.090799,0.750000,4.400000
2,1,-5.420473,-0.004318,-1.108231,0.088237,0.750000,4.400000
0,0,-3.107134,-1.495734,1.304083,-0.029924,0.750000,4.500000
1,0,-3.144008,1.510814,1.087409,-0.051328,0.750000,4.500000
2,1,-5.553062,0.009660,-1.325897,0.139777,0.750000,4.500000
0,0,-2.967790,-1.490229,1.393444,0.055048,0.750000,4.600000
1,0,-3.005671,1.501918,1.383374,-0.088963,0.750000,4.600000
2,1,-5.686127,0.001514,-1.330643,-0.081463,0.750000,4.600000
0,0,-2.836551,-1.480639,1.312388,0.095902,0.750000,4.700000
1,0,-2.862705,1.505950,1.429657,0.040330,0.750000,4.700000
2,1,-5.818823,-0.012203,-1.326963,-0.137168,0.750000,4.700000
0,0,-2.707007,-1.480918,1.295445,-0.002798,0.750000,4.800000
1,0,-2.730725,1.514105,1.319800,0.081540,0.750000,4.800000
2,1,-5.955076,-0.022664,-1.362533,-0.104607,0.750000,4.800000
0,0,-2.576687,-1.475986,1.303194,0.049324,0.750000,4.900000
1,0,-2.594966,1.513105,1.357594,-0.009994,0.750000,4.900000
2,1,-6.078011,-0.035838,-1.229342,-0.131743,0.750000,4.900000
0,0,-2.442539,-1.473471,1.341486,0.025152,0.750000,5.000000
1,0,-2.470255,1.504649,1.247109,-0.084558,0.750000,5.000000
