id,gid,x,y,v_x,v_y,radius,time
0,0,10.182386,0.259695,0.016286,-0.095409,0.200000,1.000000
1,0,12.400155,0.771609,-0.148245,0.180082,0.200000,1.000000
2,0,7.341904,0.123520,0.019864,0.245501,0.200000,1.000000
3,0,6.543270,-0.896374,-0.261270,-0.055996,0.200000,1.000000
4,0,8.744341,0.726276,-0.090709,0.026264,0.200000,1.000000
5,0,5.192543,0.484044,-0.031117,-0.050559,0.200000,1.000000
6,0,13.591084,-1.172231,-0.104416,-0.122401,0.200000,1.000000
7,0,10.693957,-0.245145,-0.166043,-0.075300,0.200000,1.000000
8,0,13.155378,-0.557787,-0.157522,-0.020346,0.200000,1.000000
9,0,7.868585,-0.042356,-0.160965,0.178268,0.200000,1.000000
10,0,6.546746,0.536763,-0.316554,0.317225,0.200000,1.000000
11,0,14.676500,-0.702791,-0.084400,-0.011543,0.200000,1.000000
12,0,13.082358,0.388602,-0.327542,-0.206902,0.200000,1.000000
13,0,8.508195,0.213513,-0.018105,0.081727,0.200000,1.000000
14,0,6.051522,-0.473448,-0.760818,-0.058547,0.200000,1.000000
15,0,13.269359,1.073536,-0.342741,0.052696,0.200000,1.000000
16,0,6.249209,0.073385,-0.196451,0.023398,0.200000,1.000000
17,0,6.826638,0.883991,0.047218,0.001094,0.200000,1.000000
18,0,9.417960,-0.443470,-0.080470,-0.005829,0.200000,1.000000
19,0,7.381548,-0.761557,0.049258,0.077833,0.200000,1.000000
20,1,7.368308,7.740919,0.068238,0.027559,0.200000,1.000000
21,1,8.401078,-4.550221,0.034978,-0.355071,0.200000,1.000000
22,1,7.233940,2.192379,0.122350,-0.143671,0.200000,1.000000
23,1,9.100293,-3.112791,0.011963,-0.036101,0.200000,1.000000
24,1,5.325320,5.466997,0.015180,-0.022973,0.200000,1.000000
25,1,8.382735,-2.081514,-0.030135,-0.052334,0.200000,1.000000
26,1,6.870401,6.468690,0.048431,-0.099620,0.200000,1.000000
27,1,5.159959,1.255481,-0.007061,0.032251,0.200000,1.000000
28,1,4.756430,3.055070,-0.053120,0.032300,0.200000,1.000000
29,1,4.747906,0.725275,-0.064564,0.016221,0.200000,1.000000
30,1,7.622321,3.380914,0.019191,-0.065976,0.200000,1.000000
31,1,7.373907,-4.382837,0.098097,-0.037887,0.200000,1.000000
32,1,5.692313,2.139025,0.047583,-0.100635,0.200000,1.000000
33,1,8.085693,5.201657,0.108373,-0.162453,0.200000,1.000000
34,1,5.073104,6.471569,0.145984,-0.164731,0.200000,1.000000
35,1,9.418834,3.662239,0.234504,-0.122441,0.200000,1.000000
36,1,6.197803,4.214227,0.001313,0.005907,0.200000,1.000000
37,1,9.089497,3.279949,0.536777,-0.582681,0.200000,1.000000
38,1,9.229127,4.531923,0.087817,-0.099937,0.200000,1.000000
39,1,6.785781,8.818748,-0.013129,-0.049752,0.200000,1.000000
0,0,10.111530,0.224686,-0.070856,-0.035010,0.200000,2.000000
1,0,12.240420,1.013374,-0.159735,0.241764,0.200000,2.000000
2,0,7.216037,0.187978,-0.125868,0.064459,0.200000,2.000000
3,0,6.174438,-0.937880,-0.368832,-0.041506,0.200000,2.000000
4,0,8.526705,0.770166,-0.217635,0.043890,0.200000,2.000000
5,0,5.133129,0.317072,-0.059414,-0.166972,0.200000,2.000000
6,0,13.309630,-1.265002,-0.281455,-0.092771,0.200000,2.000000
7,0,10.395726,-0.291316,-0.298231,-0.046171,0.200000,2.000000
8,0,13.124018,-0.614166,-0.031361,-0.056379,0.200000,2.000000
9,0,7.459862,-0.073929,-0.408723,-0.031574,0.200000,2.000000
10,0,6.391179,0.918128,-0.155567,0.381365,0.200000,2.000000
11,0,14.541450,-0.570673,-0.135050,0.132118,0.200000,2.000000
12,0,12.708957,0.140789,-0.373401,-0.247813,0.200000,2.000000
13,0,8.249074,0.222650,-0.259121,0.009137,0.200000,2.000000
14,0,5.238716,-0.764391,-0.812806,-0.290944,0.200000,2.000000
15,0,12.869981,0.989520,-0.399379,-0.084016,0.200000,2.000000
16,0,6.092550,0.013657,-0.156660,-0.059729,0.200000,2.000000
17,0,6.830945,0.741304,0.004306,-0.142687,0.200000,2.000000
18,0,9.315249,-0.442836,-0.102711,0.000634,0.200000,2.000000
19,0,7.293064,-0.721804,-0.088483,0.039753,0.200000,2.000000
20,1,7.506256,7.479876,0.137948,-0.261043,0.200000,2.000000
21,1,8.410049,-5.099998,0.008972,-0.549777,0.200000,2.000000
22,1,6.961398,1.752781,-0.272543,-0.439598,0.200000,2.000000
23,1,9.115819,-3.152603,0.015526,-0.039813,0.200000,2.000000
24,1,5.381854,5.292020,0.056534,-0.174977,0.200000,2.000000
25,1,8.341921,-2.160044,-0.040813,-0.078530,0.200000,2.000000
26,1,7.025061,6.218889,0.154660,-0.249802,0.200000,2.000000
27,1,5.593452,0.888905,0.433493,-0.366577,0.200000,2.000000
28,1,4.599947,2.974510,-0.156483,-0.080561,0.200000,2.000000
