id,gid,x,y,v_x,v_y,radius,time
0,0,-8.870000,-1.000000,1.300000,0.000000,0.750000,0.100000
1,0,-8.870000,1.000000,1.300000,0.000000,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.740000,-1.000000,1.300000,0.000000,0.750000,0.200000
1,0,-8.740000,1.000000,1.300000,0.000000,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.610000,-1.000000,1.300000,0.000000,0.750000,0.300000
1,0,-8.610000,1.000000,1.300000,0.000000,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.480000,-1.000000,1.300000,0.000000,0.750000,0.400000
1,0,-8.480000,1.000000,1.300000,0.000000,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.350000,-1.000000,1.300000,0.000000,0.750000,0.500000
1,0,-8.350000,1.000000,1.300000,0.000000,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.220000,-1.000000,1.300000,0.000000,0.750000,0.600000
1,0,-8.220000,1.000000,1.300000,0.000000,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.090000,-1.000000,1.300000,0.000000,0.750000,0.700000
1,0,-8.090000,1.000000,1.300000,0.000000,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-7.960000,-1.000000,1.300000,0.000000,0.750000,0.800000
1,0,-7.960000,1.000000,1.300000,0.000000,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.830000,-1.000000,1.300000,0.000000,0.750000,0.900000
1,0,-7.830000,1.000000,1.300000,0.000000,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.700000,-1.000000,1.300000,0.000000,0.750000,1.000000
1,0,-7.700000,1.000000,1.300000,0.000000,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.570000,-1.000000,1.300000,0.000000,0.750000,1.100000
1,0,-7.570000,1.000000,1.300000,0.000000,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.440000,-1.000000,1.300000,0.000000,0.750000,1.200000
1,0,-7.440000,1.000000,1.300000,0.000000,0.750000,1.200000
2,1,-1.560000,0.000000,-1.300000,0.000000,0.750000,1.200000
0,0,-7.310000,-1.000000,1.300000,0.000000,0.750000,1.300000
1,0,-7.310000,1.000000,1.300000,0.000000,0.750000,1.300000
2,1,-1.690000,0.000000,-1.300000,0.000000,0.750000,1.300000
0,0,-7.180000,-1.000000,1.300000,0.000000,0.750000,1.400000
1,0,-7.180000,1.000000,1.300000,0.000000,0.750000,1.400000
2,1,-1.820000,0.000000,-1.300000,0.000000,0.750000,1.400000
0,0,-7.050000,-1.000000,1.300000,0.000000,0.750000,1.500000
1,0,-7.050000,1.000000,1.300000,0.000000,0.750000,1.500000
2,1,-1.950000,0.000000,-1.300000,0.000000,0.750000,1.500000
0,0,-6.920000,-1.000000,1.300000,0.000000,0.750000,1.600000
1,0,-6.920000,1.000000,1.300000,0.000000,0.750000,1.600000
2,1,-2.080000,0.000000,-1.300000,0.000000,0.750000,1.600000
0,0,-6.818039,-1.029107,1.019607,-0.291072,0.750000,1.700000
1,0,-6.790302,1.033663,1.296978,0.336632,0.750000,1.700000
2,1,-2.192574,-0.001064,-1.125740,-0.010637,0.750000,1.700000
0,0,-6.700778,-1.063123,1.172608,-0.340162,0.750000,1.800000
1,0,-6.654805,1.077835,1.354976,0.441715,0.750000,1.800000
2,1,-2.343653,-0.002954,-1.510785,-0.018903,0.750000,1.800000
0,0,-6.570871,-1.110211,1.299080,-0.470881,0.750000,1.900000
1,0,-6.500881,1.127451,1.539234,0.496161,0.750000,1.900000
2,1,-2.481643,-0.004238,-1.379904,-0.012842,0.750000,1.900000
0,0,-6.427906,-1.149489,1.429650,-0.392773,0.750000,2.000000
1,0,-6.369506,1.160212,1.313753,0.327616,0.750000,2.000000
2,1,-2.621745,-0.006124,-1.401021,-0.018859,0.750000,2.000000
0,0,-6.281841,-1.190727,1.460642,-0.412386,0.750000,2.100000
1,0,-6.240189,1.196139,1.293171,0.359268,0.750000,2.100000
2,1,-2.768270,-0.009280,-1.465252,-0.031557,0.750000,2.100000
0,0,-6.141533,-1.223599,1.403084,-0.328717,0.750000,2.200000
1,0,-6.120501,1.229344,1.196872,0.332048,0.750000,2.200000
2,1,-2.902656,0.002555,-1.343854,0.118343,0.750000,2.200000
0,0,-5.998281,-1.257020,1.432521,-0.334212,0.750000,2.300000
1,0,-5.982840,1.278265,1.376613,0.489214,0.750000,2.300000
2,1,-3.024557,0.001625,-1.219013,-0.009293,0.750000,2.300000
0,0,-5.866548,-1.296416,1.317334,-0.393955,0.750000,2.400000
1,0,-5.842404,1.305133,1.404364,0.268671,0.750000,2.400000
2,1,-3.151563,0.011804,-1.270061,0.101785,0.750000,2.400000
0,0,-5.748328,-1.316712,1.182191,-0.202963,0.750000,2.500000
1,0,-5.694822,1.347504,1.475816,0.423714,0.750000,2.500000
2,1,-3.292989,-0.001363,-1.414257,-0.131669,0.750000,2.500000
0,0,-5.631827,-1.371406,1.165009,-0.546939,0.750000,2.600000
1,0,-5.565365,1.372642,1.294573,0.251386,0.750000,2.600000
2,1,-3.445240,0.002233,-1.522510,0.035964,0.750000,2.600000
0,0,-5.523558,-1.403852,1.082692,-0.324456,0.750000,2.700000
1,0,-5.448985,1.413611,1.163796,0.409681,0.750000,2.700000
2,1,-3.575424,-0.007619,-1.301842,-0.098522,0.750000,2.700000
0,0,-5.414296,-1.427848,1.092625,-0.239960,0.750000,2.800000
1,0,-5.321231,1.433621,1.277547,0.200102,0.750000,2.800000
2,1,-3.712358,-0.008996,-1.369344,-0.013771,0.750000,2.800000
0,0,-5.288799,-1.454570,1.254967,-0.267227,0.750000,2.900000
1,0,-5.191608,1.464285,1.296227,0.306638,0.750000,2.900000
2,1,-3.841171,-0.017239,-1.288129,-0.082428,0.750000,2.900000
0,0,-5.168299,-1.482892,1.204996,-0.283218,0.750000,3.000000
1,0,-5.078986,1.485592,1.126222,0.213072,0.750000,3.000000
2,1,-3.964974,-0.016067,-1.238025,0.011717,0.750000,3.000000
0,0,-5.052633,-1.490451,1.156665,-0.075590,0.750000,3.100000
1,0,-4.964047,1.499919,1.149384,0.143273,0.750000,3.100000
2,1,-4.115437,-0.007123,-1.504634,0.089446,0.750000,3.100000
0,0,-4.921401,-1.510522,1.312321,-0.200706,0.750000,3.200000
1,0,-4.865603,1.512967,0.984447,0.130475,0.750000,3.200000
2,1,-4.267617,-0.001732,-1.521800,0.053909,0.750000,3.200000
0,0,-4.801211,-1.506480,1.201896,0.040418,0.750000,3.300000
1,0,-4.734068,1.527257,1.315348,0.142902,0.750000,3.300000
2,1,-4.406090,0.004001,-1.384732,0.057331,0.750000,3.300000
0,0,-4.679484,-1.497047,1.217274,0.094327,0.750000,3.400000
1,0,-4.598496,1.536257,1.355723,0.090002,0.750000,3.400000
2,1,-4.517425,0.013495,-1.113343,0.094935,0.750000,3.400000
0,0,-4.559673,-1.488618,1.198107,0.084295,0.750000,3.500000
1,0,-4.482431,1.558669,1.160649,0.224124,0.750000,3.500000
2,1,-4.644915,0.031452,-1.274901,0.179572,0.750000,3.500000
0,0,-4.420614,-1.505881,1.390588,-0.172633,0.750000,3.600000
1,0,-4.372765,1.561740,1.096655,0.030708,0.750000,3.600000
2,1,-4.762751,0.050162,-1.178367,0.187098,0.750000,3.600000
0,0,-4.273725,-1.510993,1.468895,-0.051114,0.750000,3.700000
1,0,-4.251006,1.555481,1.217590,-0.062593,0.750000,3.700000
2,1,-4.876101,0.044086,-1.133498,-0.060758,0.750000,3.700000
0,0,-4.126284,-1.491302,1.474405,0.196911,0.750000,3.800000
1,0,-4.117369,1.556086,1.336372,0.006053,0.750000,3.800000
2,1,-4.999932,0.034894,-1.238307,-0.091918,0.750000,3.800000
0,0,-3.973280,-1.495962,1.530043,-0.046599,0.750000,3.900000
1,0,-3.986251,1.551038,1.311183,-0.050478,0.750000,3.900000
2,1,-5.125441,0.048650,-1.255087,0.137556,0.750000,3.900000
0,0,-3.851729,-1.492080,1.215509,0.038813,0.750000,4.000000
1,0,-3.852298,1.547002,1.339521,-0.040365,0.750000,4.000000
2,1,-5.236357,0.067838,-1.109170,0.191884,0.750000,4.000000
0,0,-3.720409,-1.488685,1.313202,0.033957,0.750000,4.100000
1,0,-3.712180,1.553292,1.401187,0.062903,0.750000,4.100000
2,1,-5.359110,0.078309,-1.227525,0.104710,0.750000,4.100000
0,0,-3.574329,-1.474876,1.460799,0.138085,0.750000,4.200000
1,0,-3.566300,1.564431,1.458797,0.111383,0.750000,4.200000
2,1,-5.487523,0.079569,-1.284134,0.012600,0.750000,4.200000
0,0,-3.432182,-1.466221,1.421471,0.086556,0.750000,4.300000
1,0,-3.432145,1.579056,1.341554,0.146255,0.750000,4.300000
2,1,-5.629403,0.079755,-1.418790,0.001854,0.750000,4.300000
0,0,-3.303032,-1.450501,1.291499,0.157197,0.750000,4.400000
1,0,-3.310560,1.582023,1.215843,0.029671,0.750000,4.400000
2,1,-5.763705,0.067354,-1.343029,-0.124001,0.750000,4.400000
0,0,-3.150961,-1.459671,1.520710,-0.091698,0.750000,4.500000
1,0,-3.190924,1.587109,1.196360,0.050863,0.750000,4.500000
2,1,-5.891900,0.064897,-1.281945,-0.024579,0.750000,4.500000
0,0,-2.998762,-1.461626,1.521991,-0.019551,0.750000,4.600000
1,0,-3.075854,1.585278,1.150703,-0.018315,0.750000,4.600000
2,1,-6.022733,0.048226,-1.308335,-0.166703,0.750000,4.600000
0,0,-2.858480,-1.451111,1.402819,0.105144,0.750000,4.700000
1,0,-2.955205,1.593186,1.206495,0.079085,0.750000,4.700000
2,1,-6.154096,0.041591,-1.313622,-0.066350,0.750000,4.700000
0,0,-2.726416,-1.440306,1.320636,0.108050,0.750000,4.800000
1,0,-2.821507,1.599065,1.336979,0.058783,0.750000,4.800000
2,1,-6.282073,0.036298,-1.279770,-0.052932,0.750000,4.800000
0,0,-2.594646,-1.424289,1.317706,0.160174,0.750000,4.900000
1,0,-2.675057,1.607920,1.464501,0.088557,0.750000,4.900000
2,1,-6.401309,0.040015,-1.192360,0.037173,0.750000,4.900000
0,0,-2.470554,-1.416278,1.240921,0.080109,0.750000,5.000000
1,0,-2.539273,1.626475,1.357839,0.185547,0.750000,5.000000
