id,gid,x,y,v_x,v_y,radius,time
0,0,10.157848,0.349685,-0.082517,-0.054187,0.200000,0.100000
1,0,12.543359,0.595400,-0.050407,0.038730,0.200000,0.100000
2,0,7.316850,-0.088445,-0.051903,0.335357,0.200000,0.100000
3,0,6.803181,-0.847144,-0.013595,-0.067656,0.200000,0.100000
4,0,8.820017,0.698014,-0.150330,-0.019981,0.200000,0.100000
5,0,5.228136,0.527395,0.044761,-0.072079,0.200000,0.100000
6,0,13.697206,-1.058134,0.017055,-0.083041,0.200000,0.100000
7,0,10.854410,-0.181878,-0.055903,-0.120329,0.200000,0.100000
8,0,13.308600,-0.551603,-0.043003,-0.141618,0.200000,0.100000
9,0,8.016621,-0.232144,-0.129286,-0.115196,0.200000,0.100000
10,0,6.836755,0.244429,-0.265455,0.248914,0.200000,0.100000
11,0,14.755036,-0.702186,-0.058641,-0.109383,0.200000,0.100000
12,0,13.391937,0.585633,-0.179631,-0.098706,0.200000,0.100000
13,0,8.508988,0.139572,-0.173117,0.077865,0.200000,0.100000
14,0,6.790226,-0.411930,-0.221139,0.029711,0.200000,0.100000
15,0,13.613324,1.025685,0.012236,0.048455,0.200000,0.100000
16,0,6.413909,0.027602,-0.317506,-0.223850,0.200000,0.100000
17,0,6.768650,0.867792,-0.107704,-0.151045,0.200000,0.100000
18,0,9.469670,-0.451240,-0.287605,-0.135993,0.200000,0.100000
19,0,7.328030,-0.849076,-0.042600,-0.096858,0.200000,0.100000
20,1,7.277341,7.694471,-0.227294,-0.188893,0.200000,0.100000
21,1,8.363555,-4.204064,-0.025454,-0.089141,0.200000,0.100000
22,1,7.107638,2.320927,-0.039525,-0.151225,0.200000,0.100000
23,1,9.094323,-3.105074,0.059932,-0.283839,0.200000,0.100000
24,1,5.319369,5.462346,0.092295,-0.276244,0.200000,0.100000
25,1,8.406872,-2.057313,-0.059978,-0.281332,0.200000,0.100000
26,1,6.809667,6.565440,-0.123031,-0.028704,0.200000,0.100000
27,1,5.168950,1.226990,0.019302,0.037601,0.200000,0.100000
28,1,4.811548,3.015710,0.019983,-0.070603,0.200000,0.100000
29,1,4.814991,0.709910,0.025210,0.008558,0.200000,0.100000
30,1,7.602771,3.435996,-0.003590,-0.108936,0.200000,0.100000
31,1,7.270140,-4.347064,-0.056696,-0.021141,0.200000,0.100000
32,1,5.648590,2.239527,0.038601,-0.001326,0.200000,0.100000
33,1,7.973717,5.366835,-0.036029,0.027251,0.200000,0.100000
34,1,4.921204,6.628648,-0.059160,-0.076519,0.200000,0.100000
35,1,9.183643,3.760154,-0.006870,-0.245264,0.200000,0.100000
36,1,6.201502,4.210202,0.050120,0.018817,0.200000,0.100000
37,1,8.561893,3.869422,0.091728,0.067925,0.200000,0.100000
38,1,9.154417,4.624967,0.131073,-0.068930,0.200000,0.100000
39,1,6.789006,8.865841,-0.099038,-0.026587,0.200000,0.100000
0,0,10.140669,0.349563,-0.171792,-0.001222,0.200000,0.200000
1,0,12.538915,0.604320,-0.044444,0.089197,0.200000,0.200000
