id,gid,x,y,v_x,v_y,radius,time
0,0,7.993444,0.000002,-0.131120,0.000042,0.500000,0.050000
1,1,5.652754,5.652753,-0.081930,-0.081931,0.500000,0.050000
2,2,0.000002,7.993185,0.000038,-0.136294,0.500000,0.050000
3,3,-5.652177,5.652178,0.093457,-0.093435,0.500000,0.050000
4,4,-7.994101,0.000001,0.117974,0.000028,0.500000,0.050000
5,5,-5.652085,-5.652099,0.095291,0.095228,0.500000,0.050000
6,6,0.000000,-7.993091,0.000000,0.138177,0.500000,0.050000
7,7,5.652679,-5.652665,-0.083616,0.083690,0.500000,0.050000
0,0,7.980990,0.000006,-0.249074,0.000081,0.500000,0.100000
1,1,5.644974,5.644974,-0.155583,-0.155584,0.500000,0.100000
2,2,0.000005,7.980240,0.000073,-0.258897,0.500000,0.100000
3,3,-5.643301,5.643305,0.177514,-0.177473,0.500000,0.100000
4,4,-7.982900,0.000003,0.224036,0.000053,0.500000,0.100000
5,5,-5.643035,-5.643055,0.180999,0.180881,0.500000,0.100000
6,6,0.000000,-7.979968,0.000001,0.262471,0.500000,0.100000
7,7,5.644740,-5.644719,-0.158787,0.158928,0.500000,0.100000
0,0,7.963231,0.000012,-0.355185,0.000116,0.500000,0.150000
1,1,5.633886,5.633886,-0.221767,-0.221767,0.500000,0.150000
2,2,0.000010,7.961781,0.000106,-0.369181,0.500000,0.150000
3,3,-5.630646,5.630652,0.253107,-0.253049,0.500000,0.150000
4,4,-7.966932,0.000007,0.319349,0.000075,0.500000,0.150000
5,5,-5.630131,-5.630159,0.258081,0.257913,0.500000,0.150000
6,6,0.000000,-7.961254,0.000004,0.374275,0.500000,0.150000
7,7,5.633423,-5.633392,-0.226339,0.226538,0.500000,0.150000
0,0,7.940699,0.000019,-0.450645,0.000147,0.500000,0.200000
1,1,5.619825,5.619825,-0.281214,-0.281209,0.500000,0.200000
2,2,0.000017,7.938362,0.000136,-0.468385,0.500000,0.200000
3,3,-5.614592,5.614602,0.321083,-0.321008,0.500000,0.200000
4,4,-7.946684,0.000012,0.404969,0.000093,0.500000,0.200000
5,5,-5.613761,-5.613800,0.327400,0.327186,0.500000,0.200000
6,6,0.000001,-7.937512,0.000007,0.474841,0.500000,0.200000
7,7,5.619072,-5.619029,-0.287021,0.287266,0.500000,0.200000
0,0,7.913872,0.000028,-0.536529,0.000176,0.500000,0.250000
1,1,5.603096,5.603097,-0.334585,-0.334569,0.500000,0.250000
2,2,0.000025,7.910481,0.000164,-0.557623,0.500000,0.250000
3,3,-5.595482,5.595496,0.382204,-0.382108,0.500000,0.250000
4,4,-7.922591,0.000017,0.481848,0.000107,0.500000,0.250000
5,5,-5.594275,-5.594326,0.389733,0.389476,0.500000,0.250000
6,6,0.000001,-7.909247,0.000010,0.565300,0.500000,0.250000
7,7,5.601997,-5.601940,-0.341507,0.341786,0.500000,0.250000
0,0,7.883182,0.000038,-0.613801,0.000202,0.500000,0.300000
1,1,5.583972,5.583975,-0.382479,-0.382446,0.500000,0.300000
2,2,0.000035,7.878586,0.000189,-0.637899,0.500000,0.300000
3,3,-5.573624,5.573644,0.437156,-0.437038,0.500000,0.300000
4,4,-7.895049,0.000023,0.550847,0.000118,0.500000,0.300000
5,5,-5.571986,-5.572052,0.445782,0.445481,0.500000,0.300000
6,6,0.000002,-7.876913,0.000013,0.646669,0.500000,0.300000
7,7,5.582476,-5.582404,-0.390408,0.390708,0.500000,0.300000
0,0,7.849016,0.000049,-0.683332,0.000225,0.500000,0.350000
1,1,5.562700,5.562706,-0.425436,-0.425378,0.500000,0.350000
2,2,0.000045,7.843080,0.000212,-0.710115,0.500000,0.350000
3,3,-5.549296,5.549324,0.486559,-0.486413,0.500000,0.350000
4,4,-7.864412,0.000029,0.612745,0.000124,0.500000,0.350000
5,5,-5.547177,-5.547260,0.496177,0.495831,0.500000,0.350000
6,6,0.000003,-7.840920,0.000015,0.719862,0.500000,0.350000
7,7,5.560762,-5.560675,-0.434276,0.434584,0.500000,0.350000
0,0,7.811721,0.000062,-0.745902,0.000247,0.500000,0.400000
1,1,5.539503,5.539513,-0.463943,-0.463854,0.500000,0.400000
2,2,0.000057,7.804326,0.000232,-0.775084,0.500000,0.400000
3,3,-5.522748,5.522784,0.530967,-0.530791,0.500000,0.400000
4,4,-7.830999,0.000035,0.668245,0.000126,0.500000,0.400000
5,5,-5.520103,-5.520206,0.541485,0.541094,0.500000,0.400000
6,6,0.000003,-7.801635,0.000017,0.785704,0.500000,0.400000
7,7,5.537082,-5.536979,-0.473609,0.473911,0.500000,0.400000
0,0,7.771610,0.000075,-0.802214,0.000266,0.500000,0.450000
1,1,5.514581,5.514597,-0.498443,-0.498314,0.500000,0.450000
2,2,0.000070,7.762649,0.000250,-0.833537,0.500000,0.450000
3,3,-5.494203,5.494251,0.570884,-0.570672,0.500000,0.450000
4,4,-7.795100,0.000042,0.717981,0.000125,0.500000,0.450000
5,5,-5.490992,-5.491117,0.582218,0.581780,0.500000,0.450000
6,6,0.000004,-7.759388,0.000019,0.844935,0.500000,0.450000
7,7,5.511639,-5.511522,-0.508858,0.509139,0.500000,0.450000
0,0,7.728965,0.000089,-0.852900,0.000284,0.500000,0.500000
1,1,5.488114,5.488140,-0.529331,-0.529154,0.500000,0.500000
2,2,0.000083,7.718343,0.000266,-0.886131,0.500000,0.500000
3,3,-5.463865,5.463925,0.606758,-0.606507,0.500000,0.500000
4,4,-7.756974,0.000048,0.762527,0.000120,0.500000,0.500000
5,5,-5.460050,-5.460199,0.618835,0.618348,0.500000,0.500000
6,6,0.000005,-7.714477,0.000020,0.898221,0.500000,0.500000
7,7,5.484618,-5.484489,-0.540426,0.540675,0.500000,0.500000
0,0,7.684039,0.000104,-0.898529,0.000300,0.500000,0.550000
1,1,5.460266,5.460303,-0.556967,-0.556733,0.500000,0.550000
2,2,0.000097,7.671670,0.000281,-0.933456,0.500000,0.550000
3,3,-5.431916,5.431990,0.638996,-0.638703,0.500000,0.550000
4,4,-7.716854,0.000053,0.802397,0.000111,0.500000,0.550000
5,5,-5.427462,-5.427639,0.651749,0.651212,0.500000,0.550000
6,6,0.000006,-7.667169,0.000021,0.946162,0.500000,0.550000
7,7,5.456184,-5.456045,-0.568679,0.568882,0.500000,0.550000
0,0,7.637058,0.000120,-0.939612,0.000315,0.500000,0.600000
1,1,5.431182,5.431234,-0.581673,-0.581375,0.500000,0.600000
2,2,0.000112,7.622868,0.000295,-0.976045,0.500000,0.600000
3,3,-5.398518,5.398609,0.667963,-0.667625,0.500000,0.600000
4,4,-7.674951,0.000058,0.838058,0.000099,0.500000,0.600000
5,5,-5.393396,-5.393601,0.681332,0.680745,0.500000,0.600000
6,6,0.000008,-7.617704,0.000022,0.989297,0.500000,0.600000
7,7,5.426486,-5.426340,-0.593948,0.594092,0.500000,0.600000
0,0,7.588227,0.000137,-0.976610,0.000329,0.500000,0.650000
1,1,5.400996,5.401066,-0.603740,-0.603369,0.500000,0.650000
2,2,0.000127,7.572149,0.000309,-1.014377,0.500000,0.650000
3,3,-5.363818,5.363929,0.693986,-0.693601,0.500000,0.650000
4,4,-7.631455,0.000062,0.869928,0.000083,0.500000,0.650000
5,5,-5.358000,-5.358237,0.707918,0.707282,0.500000,0.650000
6,6,0.000009,-7.566299,0.000025,1.028110,0.500000,0.650000
7,7,5.395660,-5.395510,-0.616528,0.616601,0.500000,0.650000
0,0,7.537731,0.000154,-1.009936,0.000342,0.500000,0.700000
1,1,5.369824,5.369917,-0.623429,-0.622977,0.500000,0.700000
2,2,0.000143,7.519705,0.000323,-1.048881,0.500000,0.700000
3,3,-5.327950,5.328082,0.717362,-0.716929,0.500000,0.700000
4,4,-7.586535,0.000066,0.898385,0.000064,0.500000,0.700000
5,5,-5.321410,-5.321681,0.731808,0.731124,0.500000,0.700000
6,6,0.000010,-7.513147,0.000028,1.063039,0.500000,0.700000
7,7,5.363826,-5.363676,-0.636686,0.636676,0.500000,0.700000
0,0,7.485732,0.000171,-1.039963,0.000355,0.500000,0.750000
1,1,5.337775,5.337895,-0.640977,-0.640436,0.500000,0.750000
2,2,0.000160,7.465708,0.000338,-1.079945,0.500000,0.750000
3,3,-5.291032,5.291189,0.738354,-0.737873,0.500000,0.750000
4,4,-7.540347,0.000068,0.923768,0.000042,0.500000,0.750000
5,5,-5.283746,-5.284054,0.753273,0.752542,0.500000,0.750000
6,6,0.000012,-7.458423,0.000034,1.094475,0.500000,0.750000
7,7,5.331092,-5.330948,-0.654663,0.654557,0.500000,0.750000
0,0,7.432381,0.000190,-1.067027,0.000366,0.500000,0.800000
1,1,5.304945,5.305097,-0.656595,-0.655957,0.500000,0.800000
2,2,0.000178,7.410312,0.000355,-1.107917,0.500000,0.800000
3,3,-5.253172,5.253355,0.757202,-0.756674,0.500000,0.800000
4,4,-7.493028,0.000068,0.946383,0.000016,0.500000,0.800000
5,5,-5.245118,-5.245465,0.772555,0.771780,0.500000,0.800000
6,6,0.000014,-7.402285,0.000042,1.122772,0.500000,0.800000
7,7,5.297559,-5.297425,-0.670674,0.670462,0.500000,0.800000
0,0,7.377810,0.000209,-1.091428,0.000378,0.500000,0.850000
1,1,5.271422,5.271611,-0.670472,-0.669729,0.500000,0.850000
2,2,0.000197,7.353656,0.000374,-1.133110,0.500000,0.850000
3,3,-5.214466,5.214678,0.774120,-0.773546,0.500000,0.850000
4,4,-7.444703,0.000068,0.966503,-0.000012,0.500000,0.850000
5,5,-5.205625,-5.206012,0.789873,0.789058,0.500000,0.850000
6,6,0.000017,-7.344872,0.000054,1.148249,0.500000,0.850000
7,7,5.263313,-5.263196,-0.684912,0.684583,0.500000,0.850000
0,0,7.322138,0.000228,-1.113438,0.000389,0.500000,0.900000
1,1,5.237283,5.237515,-0.682780,-0.681924,0.500000,0.900000
2,2,0.000216,7.295866,0.000397,-1.155809,0.500000,0.900000
3,3,-5.175001,5.175244,0.789302,-0.788685,0.500000,0.900000
4,4,-7.395484,0.000066,0.984377,-0.000043,0.500000,0.900000
5,5,-5.165353,-5.165783,0.805425,0.804574,0.500000,0.900000
6,6,0.000020,-7.286313,0.000070,1.171190,0.500000,0.900000
7,7,5.228435,-5.228341,-0.697553,0.697096,0.500000,0.900000
0,0,7.265473,0.000248,-1.133304,0.000401,0.500000,0.950000
1,1,5.202599,5.202880,-0.693673,-0.692695,0.500000,0.950000
2,2,0.000238,7.237053,0.000423,-1.176265,0.500000,0.950000
3,3,-5.134855,5.135130,0.802920,-0.802263,0.500000,0.950000
4,4,-7.345473,0.000062,1.000224,-0.000077,0.500000,0.950000
5,5,-5.124384,-5.124858,0.819385,0.818505,0.500000,0.950000
6,6,0.000025,-7.226720,0.000090,1.191854,0.500000,0.950000
7,7,5.192998,-5.192933,-0.708753,0.708158,0.500000,0.950000
0,0,7.207910,0.000269,-1.151244,0.000412,0.500000,1.000000
1,1,5.167435,5.167771,-0.703287,-0.702180,0.500000,1.000000
2,2,0.000260,7.177317,0.000454,-1.194710,0.500000,1.000000
3,3,-5.094099,5.094409,0.815131,-0.814438,0.500000,1.000000
