id,gid,x,y,v_x,v_y,radius,time
0,0,10.156519,0.364206,-0.191618,0.182048,0.200000,0.050000
1,0,12.530900,0.591847,-0.350000,0.006397,0.200000,0.050000
2,0,7.339540,-0.123756,0.350000,-0.035503,0.200000,0.050000
3,0,6.787040,-0.857878,-0.350000,-0.350000,0.200000,0.050000
4,0,8.852550,0.717512,0.350000,0.350000,0.200000,0.050000
5,0,5.241160,0.517103,0.350000,-0.350000,0.200000,0.050000
6,0,13.713000,-1.067330,0.350000,-0.350000,0.200000,0.050000
7,0,10.862893,-0.175952,0.057870,-0.122149,0.200000,0.050000
8,0,13.295400,-0.519941,-0.350000,0.350000,0.200000,0.050000
9,0,8.012050,-0.238124,-0.350000,-0.350000,0.200000,0.050000
10,0,6.880800,0.237038,0.350000,0.350000,0.200000,0.050000
11,0,14.758853,-0.690762,-0.040942,0.009728,0.200000,0.050000
12,0,13.392400,0.578004,-0.350000,-0.350000,0.200000,0.050000
13,0,8.543800,0.138109,0.350000,0.126468,0.200000,0.050000
14,0,6.829840,-0.397401,0.350000,0.350000,0.200000,0.050000
15,0,13.629600,1.038340,0.350000,0.350000,0.200000,0.050000
16,0,6.428160,0.032487,-0.350000,-0.350000,0.200000,0.050000
17,0,6.768657,0.900397,-0.215269,0.350000,0.200000,0.050000
18,0,9.493267,-0.443643,-0.103270,-0.120045,0.200000,0.050000
19,0,7.349790,-0.856890,0.350000,-0.350000,0.200000,0.050000
20,1,7.300446,7.707531,0.007522,-0.116587,0.200000,0.050000
21,1,8.367075,-4.202831,0.019507,-0.153620,0.200000,0.050000
22,1,7.111881,2.329269,0.005813,-0.135612,0.200000,0.050000
23,1,9.088593,-3.083874,0.005268,-0.143686,0.200000,0.050000
24,1,5.310408,5.482231,0.005369,-0.154790,0.200000,0.050000
25,1,8.411643,-2.036144,-0.024542,-0.139278,0.200000,0.050000
26,1,6.821515,6.560978,-0.009107,-0.146632,0.200000,0.050000
27,1,5.184520,1.240730,0.350000,0.350000,0.200000,0.050000
28,1,4.807580,3.018736,-0.039396,-0.080671,0.200000,0.050000
29,1,4.794970,0.726554,-0.350000,0.350000,0.200000,0.050000
30,1,7.599795,3.440202,-0.066693,-0.133769,0.200000,0.050000
31,1,7.272038,-4.352452,-0.075437,-0.150034,0.200000,0.050000
32,1,5.646982,2.235372,0.045034,-0.085757,0.200000,0.050000
33,1,7.976386,5.359293,-0.018684,-0.096350,0.200000,0.050000
34,1,4.926525,6.632077,-0.011896,-0.084467,0.200000,0.050000
35,1,9.201830,3.767180,0.350000,-0.350000,0.200000,0.050000
36,1,6.196401,4.202288,-0.001775,-0.120648,0.200000,0.050000
37,1,8.535220,3.862200,-0.350000,-0.008603,0.200000,0.050000
38,1,9.145036,4.641521,0.074514,0.193216,0.200000,0.050000
39,1,6.798301,8.864072,-0.012177,-0.088555,0.200000,0.050000
0,0,10.149980,0.366118,-0.130787,0.038233,0.200000,0.100000
1,0,12.505341,0.593401,-0.511173,0.031081,0.200000,0.100000
2,0,7.374540,-0.108031,0.700000,0.314497,0.200000,0.100000
3,0,6.765969,-0.879444,-0.421427,-0.431318,0.200000,0.100000
4,0,8.859332,0.749925,0.135647,0.648251,0.200000,0.100000
5,0,5.241160,0.513035,0.000000,-0.081356,0.200000,0.100000
6,0,13.722272,-1.082715,0.185433,-0.307692,0.200000,0.100000
7,0,10.859005,-0.181404,-0.077775,-0.109036,0.200000,0.100000
8,0,13.272601,-0.519941,-0.455983,0.000000,0.200000,0.100000
9,0,8.012050,-0.273124,0.000000,-0.700000,0.200000,0.100000
10,0,6.898434,0.272038,0.352671,0.700000,0.200000,0.100000
11,0,14.750604,-0.690087,-0.164987,0.013486,0.200000,0.100000
12,0,13.376197,0.578004,-0.324052,0.000000,0.200000,0.100000
13,0,8.549118,0.132257,0.106368,-0.117055,0.200000,0.100000
14,0,6.829840,-0.397401,0.000000,0.000000,0.200000,0.100000
15,0,13.638888,1.053731,0.185754,0.307823,0.200000,0.100000
16,0,6.411829,0.011331,-0.326623,-0.423125,0.200000,0.100000
17,0,6.740393,0.909495,-0.565269,0.181961,0.200000,0.100000
18,0,9.482731,-0.449230,-0.210711,-0.111739,0.200000,0.100000
19,0,7.366830,-0.891890,0.340801,-0.700000,0.200000,0.100000
20,1,7.300777,7.696343,0.006610,-0.223755,0.200000,0.100000
21,1,8.367528,-4.217503,0.009060,-0.293432,0.200000,0.100000
22,1,7.129671,2.316512,0.355813,-0.255155,0.200000,0.100000
23,1,9.088864,-3.097228,0.005404,-0.267071,0.200000,0.100000
24,1,5.310533,5.468396,0.002493,-0.276691,0.200000,0.100000
25,1,8.409485,-2.050829,-0.043149,-0.293699,0.200000,0.100000
26,1,6.820881,6.547629,-0.012669,-0.266981,0.200000,0.100000
27,1,5.189408,1.240730,0.097754,0.000000,0.200000,0.100000
28,1,4.804097,3.009268,-0.069664,-0.189369,0.200000,0.100000
29,1,4.780391,0.735934,-0.291578,0.187606,0.200000,0.100000
30,1,7.591887,3.420077,-0.158175,-0.402492,0.200000,0.100000
31,1,7.266369,-4.366016,-0.113382,-0.271289,0.200000,0.100000
32,1,5.653189,2.245259,0.124141,0.197742,0.200000,0.100000
33,1,7.976281,5.348446,-0.002098,-0.216926,0.200000,0.100000
34,1,4.925742,6.623447,-0.015668,-0.172592,0.200000,0.100000
35,1,9.216979,3.746222,0.302979,-0.419158,0.200000,0.100000
36,1,6.195846,4.191219,-0.011113,-0.221374,0.200000,0.100000
37,1,8.526150,3.864921,-0.181393,0.054414,0.200000,0.100000
38,1,9.147704,4.643948,0.053374,0.048553,0.200000,0.100000
39,1,6.797171,8.855229,-0.022598,-0.176867,0.200000,0.100000
0,0,10.137950,0.372166,-0.240589,0.120964,0.200000,0.150000
1,0,12.473497,0.598011,-0.636894,0.092195,0.200000,0.150000
2,0,7.392040,-0.086771,0.350000,0.425211,0.200000,0.150000
3,0,6.741557,-0.905408,-0.488242,-0.519282,0.200000,0.150000
4,0,8.857899,0.777988,-0.028672,0.561260,0.200000,0.150000
5,0,5.231217,0.492315,-0.198867,-0.414397,0.200000,0.150000
6,0,13.724148,-1.096201,0.037526,-0.269738,0.200000,0.150000
7,0,10.850903,-0.189516,-0.162031,-0.162240,0.200000,0.150000
8,0,13.245809,-0.523144,-0.535844,-0.064067,0.200000,0.150000
9,0,8.013916,-0.290624,0.037325,-0.350000,0.200000,0.150000
10,0,6.906824,0.298047,0.167818,0.520173,0.200000,0.150000
11,0,14.737025,-0.689267,-0.271572,0.016405,0.200000,0.150000
