id,gid,x,y,v_x,v_y,radius,time
0,0,10.160359,0.361158,-0.114810,0.121087,0.200000,0.050000
1,0,12.532288,0.592257,-0.322235,0.014603,0.200000,0.050000
2,0,7.339540,-0.114029,0.350000,0.159044,0.200000,0.050000
3,0,6.787040,-0.957921,-0.350000,-2.350852,0.200000,0.050000
4,0,8.834341,0.715065,-0.014177,0.301054,0.200000,0.050000
5,0,5.241160,0.501784,0.350000,-0.656381,0.200000,0.050000
6,0,13.693658,-1.061818,-0.036837,-0.239768,0.200000,0.050000
7,0,10.859501,-0.173202,-0.009978,-0.067145,0.200000,0.050000
8,0,13.298034,-0.533180,-0.297329,0.085214,0.200000,0.050000
9,0,8.029600,-0.228279,0.001008,-0.153105,0.200000,0.050000
10,0,6.880800,0.237038,0.350000,0.350000,0.200000,0.050000
11,0,14.759627,-0.690731,-0.025454,0.010330,0.200000,0.050000
12,0,13.392400,0.564161,-0.350000,-0.626870,0.200000,0.050000
13,0,8.528019,0.132505,0.034385,0.014370,0.200000,0.050000
14,0,6.794840,-0.397401,-0.350000,0.350000,0.200000,0.050000
15,0,13.625531,1.038340,0.268612,0.350000,0.200000,0.050000
16,0,6.428160,0.042287,-0.350000,-0.154006,0.200000,0.050000
17,0,6.773108,0.900397,-0.126234,0.350000,0.200000,0.050000
18,0,9.493267,-0.444176,-0.103263,-0.130707,0.200000,0.050000
19,0,7.349790,-0.863487,0.350000,-0.481932,0.200000,0.050000
20,1,7.300833,7.707071,0.015268,-0.125781,0.200000,0.050000
21,1,8.366855,-4.202860,0.015100,-0.154201,0.200000,0.050000
22,1,7.112327,2.328486,0.014745,-0.151278,0.200000,0.050000
23,1,9.088973,-3.083245,0.012863,-0.131107,0.200000,0.050000
24,1,5.310502,5.481654,0.007250,-0.166317,0.200000,0.050000
25,1,8.411295,-2.035503,-0.031498,-0.126452,0.200000,0.050000
26,1,6.821349,6.560496,-0.012416,-0.156275,0.200000,0.050000
27,1,5.171482,1.235076,0.089232,0.236923,0.200000,0.050000
28,1,4.807750,3.018680,-0.035994,-0.081797,0.200000,0.050000
29,1,4.794970,0.714291,-0.350000,0.104732,0.200000,0.050000
30,1,7.599839,3.439827,-0.065815,-0.141255,0.200000,0.050000
31,1,7.272090,-4.351919,-0.074409,-0.139374,0.200000,0.050000
32,1,5.647557,2.235735,0.056540,-0.078507,0.200000,0.050000
33,1,7.975540,5.359750,-0.035606,-0.087201,0.200000,0.050000
34,1,4.926558,6.632447,-0.011248,-0.077051,0.200000,0.050000
35,1,9.197319,3.770495,0.259789,-0.283705,0.200000,0.050000
36,1,6.196914,4.202090,0.008478,-0.124602,0.200000,0.050000
37,1,8.540955,3.854679,-0.235299,-0.159029,0.200000,0.050000
38,1,9.144809,4.634512,0.069985,0.053048,0.200000,0.050000
39,1,6.798005,8.864246,-0.018098,-0.085084,0.200000,0.050000
0,0,10.153839,0.368177,-0.130413,0.140363,0.200000,0.100000
1,0,12.514880,0.595372,-0.348169,0.062290,0.200000,0.100000
2,0,7.339540,-0.091819,0.000000,0.444195,0.200000,0.100000
3,0,6.764811,-1.063182,-0.444573,-2.105237,0.200000,0.100000
4,0,8.833524,0.730165,-0.016344,0.302005,0.200000,0.100000
5,0,5.241160,0.472889,0.000000,-0.577893,0.200000,0.100000
6,0,13.685511,-1.072239,-0.162944,-0.208419,0.200000,0.100000
7,0,10.849062,-0.180094,-0.208780,-0.137837,0.200000,0.100000
8,0,13.281990,-0.559302,-0.320863,-0.522429,0.200000,0.100000
9,0,8.028560,-0.249678,-0.020808,-0.427983,0.200000,0.100000
10,0,6.883784,0.251852,0.059687,0.296286,0.200000,0.100000
11,0,14.751986,-0.690040,-0.152829,0.013839,0.200000,0.100000
12,0,13.375462,0.550317,-0.338756,-0.276870,0.200000,0.100000
13,0,8.531758,0.132200,0.074781,-0.006094,0.200000,0.100000
14,0,6.794840,-0.425412,0.000000,-0.560218,0.200000,0.100000
