id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.003988,0.130000,-0.079754,0.750000,0.050000
1,0,-8.993500,1.003988,0.130000,0.079754,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.007575,0.247000,-0.071750,0.750000,0.100000
1,0,-8.981150,1.007575,0.247000,0.071750,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.010801,0.352300,-0.064520,0.750000,0.150000
1,0,-8.963535,1.010801,0.352300,0.064520,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.013701,0.447070,-0.057990,0.750000,0.200000
1,0,-8.941182,1.013701,0.447070,0.057990,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914563,-1.016305,0.532363,-0.052091,0.750000,0.250000
1,0,-8.914563,1.016305,0.532363,0.052091,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.884107,-1.018643,0.609127,-0.046764,0.750000,0.300000
1,0,-8.884107,1.018643,0.609127,0.046764,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850196,-1.020741,0.678214,-0.041952,0.750000,0.350000
1,0,-8.850196,1.020741,0.678214,0.041952,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813177,-1.022621,0.740392,-0.037606,0.750000,0.400000
1,0,-8.813177,1.022621,0.740392,0.037606,0.750000,0.400000
2,1,-0.186823,0.000000,-0.740393,0.000000,0.750000,0.400000
0,0,-8.773359,-1.024305,0.796353,-0.033680,0.750000,0.450000
1,0,-8.773359,1.024305,0.796353,0.033680,0.750000,0.450000
2,1,-0.226641,0.000000,-0.796353,0.000000,0.750000,0.450000
0,0,-8.731023,-1.026844,0.846718,-0.050771,0.750000,0.500000
1,0,-8.731023,1.026844,0.846718,0.050771,0.750000,0.500000
2,1,-0.268977,0.000000,-0.846718,0.000000,0.750000,0.500000
0,0,-8.686421,-1.029119,0.892046,-0.045497,0.750000,0.550000
1,0,-8.686421,1.029119,0.892046,0.045497,0.750000,0.550000
2,1,-0.313579,0.000000,-0.892046,0.000000,0.750000,0.550000
0,0,-8.639779,-1.031155,0.932841,-0.040733,0.750000,0.600000
1,0,-8.639779,1.031155,0.932841,0.040733,0.750000,0.600000
2,1,-0.360221,0.000000,-0.932842,0.000000,0.750000,0.600000
0,0,-8.591301,-1.032977,0.969557,-0.036430,0.750000,0.650000
