id,gid,x,y,v_x,v_y,radius,time
0,0,7.993439,0.000002,-0.131220,0.000042,0.500000,0.050000
1,1,5.652750,5.652750,-0.082000,-0.082002,0.500000,0.050000
2,2,0.000002,7.993180,0.000038,-0.136394,0.500000,0.050000
3,3,-5.652174,5.652175,0.093528,-0.093506,0.500000,0.050000
4,4,-7.994096,0.000001,0.118074,0.000028,0.500000,0.050000
5,5,-5.652082,-5.652095,0.095362,0.095298,0.500000,0.050000
6,6,0.000000,-7.993086,0.000000,0.138277,0.500000,0.050000
7,7,5.652676,-5.652662,-0.083686,0.083761,0.500000,0.050000
0,0,7.980975,0.000006,-0.249281,0.000081,0.500000,0.100000
1,1,5.644962,5.644962,-0.155753,-0.155756,0.500000,0.100000
2,2,0.000005,7.980225,0.000074,-0.259108,0.500000,0.100000
3,3,-5.643290,5.643293,0.177668,-0.177629,0.500000,0.100000
4,4,-7.982883,0.000003,0.224275,0.000053,0.500000,0.100000
5,5,-5.643024,-5.643043,0.181152,0.181035,0.500000,0.100000
6,6,0.000000,-7.979952,0.000002,0.262684,0.500000,0.100000
7,7,5.644728,-5.644707,-0.158957,0.159099,0.500000,0.100000
0,0,7.963200,0.000012,-0.355502,0.000116,0.500000,0.150000
1,1,5.633859,5.633859,-0.222065,-0.222068,0.500000,0.150000
2,2,0.000011,7.961750,0.000109,-0.369508,0.500000,0.150000
3,3,-5.630623,5.630628,0.253353,-0.253301,0.500000,0.150000
4,4,-7.966894,0.000007,0.319766,0.000075,0.500000,0.150000
5,5,-5.630108,-5.630135,0.258324,0.258162,0.500000,0.150000
6,6,0.000001,-7.961222,0.000007,0.374605,0.500000,0.150000
7,7,5.633396,-5.633365,-0.226635,0.226837,0.500000,0.150000
0,0,7.940646,0.000019,-0.451069,0.000148,0.500000,0.200000
1,1,5.619776,5.619775,-0.281664,-0.281665,0.500000,0.200000
2,2,0.000018,7.938308,0.000143,-0.468829,0.500000,0.200000
3,3,-5.614551,5.614560,0.321427,-0.321363,0.500000,0.200000
4,4,-7.946614,0.000012,0.405596,0.000095,0.500000,0.200000
5,5,-5.613721,-5.613758,0.327737,0.327536,0.500000,0.200000
6,6,0.000001,-7.937457,0.000013,0.475292,0.500000,0.200000
7,7,5.619023,-5.618979,-0.287466,0.287717,0.500000,0.200000
0,0,7.913794,0.000028,-0.537056,0.000177,0.500000,0.250000
1,1,5.603015,5.603015,-0.335209,-0.335203,0.500000,0.250000
2,2,0.000027,7.910399,0.000176,-0.558183,0.500000,0.250000
3,3,-5.595419,5.595431,0.382648,-0.382574,0.500000,0.250000
4,4,-7.922479,0.000017,0.482713,0.000111,0.500000,0.250000
5,5,-5.594213,-5.594262,0.390166,0.389932,0.500000,0.250000
6,6,0.000002,-7.909164,0.000022,0.565872,0.500000,0.250000
7,7,5.601917,-5.601859,-0.342121,0.342413,0.500000,0.250000
0,0,7.883072,0.000038,-0.614425,0.000204,0.500000,0.300000
1,1,5.583851,5.583851,-0.383296,-0.383278,0.500000,0.300000
2,2,0.000037,7.878470,0.000208,-0.638571,0.500000,0.300000
3,3,-5.573534,5.573550,0.437703,-0.437619,0.500000,0.300000
4,4,-7.894880,0.000024,0.551975,0.000123,0.500000,0.300000
5,5,-5.571897,-5.571960,0.446312,0.446047,0.500000,0.300000
6,6,0.000004,-7.876796,0.000032,0.647358,0.500000,0.300000
7,7,5.582356,-5.582282,-0.391209,0.391529,0.500000,0.300000
0,0,7.848870,0.000050,-0.684046,0.000229,0.500000,0.350000
1,1,5.562528,5.562530,-0.426461,-0.426425,0.500000,0.350000
2,2,0.000049,7.842926,0.000239,-0.710895,0.500000,0.350000
3,3,-5.549173,5.549195,0.487209,-0.487112,0.500000,0.350000
4,4,-7.864172,0.000030,0.614156,0.000132,0.500000,0.350000
5,5,-5.547057,-5.547134,0.496804,0.496509,0.500000,0.350000
6,6,0.000006,-7.840762,0.000042,0.720666,0.500000,0.350000
7,7,5.560592,-5.560501,-0.435280,0.435616,0.500000,0.350000
0,0,7.811535,0.000063,-0.746698,0.000252,0.500000,0.400000
1,1,5.539268,5.539274,-0.465190,-0.465130,0.500000,0.400000
2,2,0.000062,7.804127,0.000268,-0.775967,0.500000,0.400000
3,3,-5.522587,5.522614,0.531721,-0.531610,0.500000,0.400000
4,4,-7.830674,0.000037,0.669957,0.000137,0.500000,0.400000
5,5,-5.519947,-5.520040,0.542208,0.541885,0.500000,0.400000
6,6,0.000009,-7.801431,0.000054,0.786618,0.500000,0.400000
7,7,5.536851,-5.536743,-0.474828,0.475168,0.500000,0.400000
0,0,7.771381,0.000076,-0.803084,0.000273,0.500000,0.450000
1,1,5.514272,5.514282,-0.499923,-0.499831,0.500000,0.450000
2,2,0.000077,7.762401,0.000297,-0.834517,0.500000,0.450000
3,3,-5.494000,5.494034,0.571740,-0.571612,0.500000,0.450000
4,4,-7.794674,0.000044,0.720009,0.000138,0.500000,0.450000
5,5,-5.490795,-5.490906,0.583035,0.582685,0.500000,0.450000
6,6,0.000012,-7.759134,0.000065,0.845954,0.500000,0.450000
7,7,5.511336,-5.511211,-0.510302,0.510633,0.500000,0.450000
0,0,7.728689,0.000091,-0.853836,0.000292,0.500000,0.500000
1,1,5.487719,5.487736,-0.531054,-0.530924,0.500000,0.500000
2,2,0.000093,7.718041,0.000324,-0.887202,0.500000,0.500000
3,3,-5.463614,5.463655,0.607717,-0.607568,0.500000,0.500000
4,4,-7.756430,0.000051,0.764881,0.000136,0.500000,0.500000
5,5,-5.459808,-5.459937,0.619744,0.619366,0.500000,0.500000
6,6,0.000016,-7.714167,0.000077,0.899341,0.500000,0.500000
7,7,5.484231,-5.484091,-0.542105,0.542415,0.500000,0.500000
0,0,7.683713,0.000106,-0.899522,0.000310,0.500000,0.550000
1,1,5.459772,5.459798,-0.558942,-0.558765,0.500000,0.550000
2,2,0.000111,7.671311,0.000350,-0.934612,0.500000,0.550000
3,3,-5.431612,5.431661,0.640056,-0.639885,0.500000,0.550000
4,4,-7.716175,0.000057,0.805089,0.000131,0.500000,0.550000
5,5,-5.427170,-5.427320,0.652749,0.652343,0.500000,0.550000
6,6,0.000020,-7.666798,0.000090,0.947376,0.500000,0.550000
7,7,5.455701,-5.455547,-0.570601,0.570878,0.500000,0.550000
0,0,7.636680,0.000123,-0.940653,0.000326,0.500000,0.600000
1,1,5.430577,5.430614,-0.583907,-0.583675,0.500000,0.600000
2,2,0.000130,7.622447,0.000375,-0.977280,0.500000,0.600000
3,3,-5.398155,5.398215,0.669122,-0.668927,0.500000,0.600000
4,4,-7.674121,0.000063,0.841096,0.000122,0.500000,0.600000
5,5,-5.393049,-5.393221,0.682421,0.681987,0.500000,0.600000
