id,gid,x,y,v_x,v_y,radius,time
0,0,10.154131,0.365203,-0.239381,0.201974,0.200000,0.050000
1,0,12.526629,0.591452,-0.435415,-0.001508,0.200000,0.050000
2,0,7.347040,-0.146981,0.500000,-0.500000,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.860050,0.725012,0.500000,0.500000,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.720500,-1.074830,0.500000,-0.500000,0.200000,0.050000
7,0,10.863927,-0.177000,0.078550,-0.143097,0.200000,0.050000
8,0,13.287900,-0.512441,-0.500000,0.500000,0.200000,0.050000
9,0,8.004550,-0.245624,-0.500000,-0.500000,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.757902,-0.690579,-0.059960,0.013373,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.551300,0.151506,0.500000,0.394398,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.764746,0.907897,-0.293480,0.500000,0.200000,0.050000
18,0,9.492385,-0.442987,-0.120903,-0.106920,0.200000,0.050000
19,0,7.357290,-0.864390,0.500000,-0.500000,0.200000,0.050000
20,1,7.300090,7.707274,0.000393,-0.121730,0.200000,0.050000
21,1,8.366934,-4.202240,0.016689,-0.141806,0.200000,0.050000
22,1,7.111670,2.328945,0.001604,-0.142107,0.200000,0.050000
23,1,9.088014,-3.083501,-0.006329,-0.136214,0.200000,0.050000
24,1,5.310779,5.482265,0.012789,-0.154095,0.200000,0.050000
25,1,8.411458,-2.035487,-0.028249,-0.126133,0.200000,0.050000
26,1,6.821562,6.560893,-0.008167,-0.148341,0.200000,0.050000
27,1,5.192020,1.248230,0.500000,0.500000,0.200000,0.050000
28,1,4.808390,3.018225,-0.023206,-0.090895,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.599752,3.439978,-0.067558,-0.138243,0.200000,0.050000
31,1,7.272476,-4.352082,-0.066686,-0.142650,0.200000,0.050000
